
======== FAMILY_NAME ========           ======== FAMILY_CODE ========
Elastos.Core.Exceptions                             0x20
Elastos.Core.Errors                                 0x21
Elastos.IO.Exceptions                               0x22
Elastos.IO.Errors                                   0x23
Elastos.Utility.Zip.Exceptions                      0x24
Elastos.Utility.Zip.Errors                          0x25
Elastos.Utility.Regex.Exceptions                    0x26
Elastos.Utility.Exceptions                          0x27
Elastos.SQL.Exceptions                              0x28
Com.Kortide.Platform.Exceptions                     0x2A
Elastos.Net.Exceptions                              0x2B
Elastos.Security.Exceptions                         0x2C
Elastos.Text.Exceptions                              0x2D
